Rank,Movie Title,Opening,Total_Gross,Weekend_vs_Total,Theaters,Distributor,Average,Year
453,The Grudge,39128715,110359362,35.5,3245,Sony Pictures Releasing,12058,2004
454,Magic Mike,39127170,113721571,34.4,2930,Warner Bros.,13353,2012
455,Onward,39119861,61555145,63.6,4310,Walt Disney Studios Motion Pictures,9076,2020
456,The Heat,39115043,159582188,24.5,3181,Twentieth Century Fox,12296,2013
457,Kingsman: The Golden Circle,39023010,100229647,38.9,4003,Twentieth Century Fox,9748,2017
458,Morbius,39005895,73865530,52.8,4268,Columbia Pictures,9139,2022
459,Wonka,39005800,218402312,17.9,4203,Warner Bros.,9280,2023
460,Dinosaur,38854851,137748063,28.2,3257,Walt Disney Studios Motion Pictures,11929,2000
461,Daddy's Home,38740203,150357137,25.8,3271,Paramount Pictures,11843,2015
462,Get Smart,38683480,130319208,29.7,3911,Warner Bros.,9890,2008
463,Fifty Shades Freed,38560195,100407760,38.4,3768,Universal Pictures,10233,2018
464,You Don't Mess with the Zohan,38531374,100018837,38.5,3462,Sony Pictures Releasing,11129,2008
465,The Legend of Tarzan,38527856,126643061,30.4,3561,Warner Bros.,10819,2016
466,Over the Hedge,38457003,155019340,24.8,4059,DreamWorks,9474,2006
467,The Cat in the Hat,38329160,101149285,37.9,3464,Universal Pictures,11065,2003
468,Alien vs. Predator,38291056,80282231,47.7,3395,Twentieth Century Fox,11278,2004
469,The Angry Birds Movie,38155177,107509366,35.5,3932,Sony Pictures Releasing,9703,2016
470,The Bourne Legacy,38142825,113203870,33.7,3745,Universal Pictures,10185,2012
471,Ocean's Eleven,38107822,183417150,20.8,3075,Warner Bros.,12392,2001
472,Rango,38079323,123477607,30.8,3917,Paramount Pictures,9721,2011
473,Inglourious Basterds,38054676,120540719,31.6,3165,The Weinstein Company,12023,2009
474,Bee Movie,38021044,126631277,30,3928,DreamWorks,9679,2007
475,Ace Ventura: When Nature Calls,37804076,108385533,34.9,2652,Warner Bros.,14254,1995
476,Joker: Folie ? Deux,37678467,58300287,64.6,4102,Warner Bros.,9185,2024
477,Charlie's Angels: Full Throttle,37634221,100830111,37.3,3459,Sony Pictures Releasing,10880,2003
478,Hop,37543710,108085305,34.7,3579,Universal Pictures,10490,2011
479,Gone Girl,37513109,167767189,22.4,3014,Twentieth Century Fox,12446,2014
480,District 9,37354308,115646235,32.3,3049,TriStar Pictures,12251,2009
481,Pacific Rim,37285325,101802906,36.6,3275,Warner Bros.,11384,2013
482,Dungeons & Dragons: Honor Among Thieves,37205784,93549650,39.8,3855,Paramount Pictures,9651,2023
483,Mr. Deeds,37162787,126293452,29.4,3231,Sony Pictures Releasing,11501,2002
484,Annabelle,37134255,84273813,44.1,3185,Warner Bros.,11659,2014
485,Air Force One,37132505,172956409,21.5,2919,Sony Pictures Releasing,12720,1997
486,S.W.A.T.,37062535,116934650,31.7,3202,Sony Pictures Releasing,11574,2003
487,Oblivion,37054485,89107235,41.6,3783,Universal Pictures,9795,2013
488,Maleficent: Mistress of Evil,36948713,113929605,32.4,3790,Walt Disney Studios Motion Pictures,9749,2019
489,Red Dragon,36540945,93149898,39.2,3357,Universal Pictures,10885,2002
490,Cowboys & Aliens,36431290,100240551,36.3,3750,Universal Pictures,9715,2011
491,Freddy vs. Jason,36400000,82622655,44.1,3014,New Line Cinema,12076,2003
492,Interview with the Vampire,36389705,105264608,34.6,2604,Warner Bros.,13974,1994
493,Marley & Me,36357586,143153751,25.4,3480,Twentieth Century Fox,10447,2008
494,21 Jump Street,36302612,138447667,26.2,3121,Sony Pictures Releasing,11631,2012
495,Kingsman: The Secret Service,36206331,128261724,28.2,3204,Twentieth Century Fox,11300,2015
496,Jumanji: Welcome to the Jungle,36169328,404515480,8.9,3765,Sony Pictures Releasing,9606,2017
497,Alien: Covenant,36160621,74262031,48.7,3761,Twentieth Century Fox,9614,2017
498,Ocean's Thirteen,36133403,117154724,30.8,3565,Warner Bros.,10135,2007
499,Dumb and Dumber To,36111775,86208010,41.9,3154,Universal Pictures,11449,2014
500,Armageddon,36089972,201578182,17.9,3127,Walt Disney Studios Motion Pictures,11541,1998
501,The Scorpion King,36075875,91047077,39.6,3444,Universal Pictures,10474,2002
502,Robin Hood,36063385,105269730,34.3,3503,Universal Pictures,10295,2010
